gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	B	CD14	CD4T	CD8T	DCs	FGR3	Mega	NK
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.001	0.024	0.002	0.0	0.0	0.018	0.0	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.0	0.003	0.0	0.0	0.004	0.009	0.0	0.0
CYP27B1	O15528	True	CP27B_HUMAN	Calcitriol_byCYP27B1	CPI-CS01DAEDE79	CYP27B1	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0
B2M	P61769	True	B2MG_HUMAN	CD1B_complex	CPI-CS05B3376EE	B2M	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0
CD1B	P29016	True	CD1B_HUMAN	CD1B_complex	CPI-CS05B3376EE	CD1B	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0
DHCR24	Q15392	True	DHC24_HUMAN	Cholesterol_byDHCR24	CPI-CS0D81115C8	DHCR24	0.001	0.0	0.001	0.0	0.006	0.0	0.0	0.0
DHCR24	Q15392	True	DHC24_HUMAN	Cholesterol_byDHCR24	CPI-CS03D61E885	DHCR24	0.001	0.0	0.001	0.0	0.006	0.0	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.016	0.001	0.026	0.01	0.018	0.0	0.0	0.01
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.016	0.001	0.026	0.01	0.018	0.0	0.0	0.01
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0406B0B69	LIPA	0.116	0.013	0.061	0.071	0.061	0.069	0.0	0.073
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0F51152EA	LIPA	0.116	0.013	0.061	0.071	0.061	0.069	0.0	0.073
CYP19A1	P11511	True	CP19A_HUMAN	Estradiol_byCYP19A1	CPI-CS029C8858F	CYP19A1	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0
CYP19A1	P11511	True	CP19A_HUMAN	Estradiol_byCYP19A1	CPI-CS0B87D36A1	CYP19A1	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0
CYP19A1	P11511	True	CP19A_HUMAN	Estradiol_byCYP19A1	CPI-CS0DAC88EFA	CYP19A1	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0
HSD17B1	P14061	True	DHB1_HUMAN	Estradiol_byHSD17B1	CPI-CS0168A25C9	HSD17B1	0.001	0.001	0.001	0.003	0.0	0.005	0.0	0.006
HSD17B1	P14061	True	DHB1_HUMAN	Estradiol_byHSD17B1	CPI-CS0A04F7238	HSD17B1	0.001	0.001	0.001	0.003	0.0	0.005	0.0	0.006
HSD17B1	P14061	True	DHB1_HUMAN	Estradiol_byHSD17B1	CPI-CS0B08AEA2D	HSD17B1	0.001	0.001	0.001	0.003	0.0	0.005	0.0	0.006
HDC	P19113	True	DCHS_HUMAN	Histamine_byHDC	CPI-CS0FF6E7611	HDC	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HDC	P19113	True	DCHS_HUMAN	Histamine_byHDC	CPI-CS045AC7D7C	HDC	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EBI3	Q14213	True	IL27B_HUMAN	IL27	CPI-CC0B5110FC9	EBI3	0.0	0.006	0.0	0.0	0.0	0.003	0.0	0.0
IL27	Q8NEV9	True	IL27A_HUMAN	IL27	CPI-CC0B5110FC9	IL27	0.0	0.006	0.0	0.0	0.0	0.003	0.0	0.0
EBI3	Q14213	True	IL27B_HUMAN	IL35	CPI-CC0D8A77C69	EBI3	0.01	0.001	0.0	0.003	0.0	0.002	0.0	0.0
IL12A	P29459	True	IL12A_HUMAN	IL35	CPI-CC0D8A77C69	IL12A	0.01	0.001	0.0	0.003	0.0	0.002	0.0	0.0
LTA4H	P09960	True	LKHA4_HUMAN	LeukotrieneB4_byLTA4H	CPI-CS047D9C0D7	LTA4H	0.303	0.449	0.124	0.112	0.434	1.04	0.0	0.125
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5AP	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5AP	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	LTC4S	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	LTC4S	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.0
GGT1	P19440	True	GGT1_HUMAN	LeukotrieneD4_byGGT1	CPI-CS0C4ABE334	GGT1	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
GGT1	P19440	True	GGT1_HUMAN	LeukotrieneD4_byGGT1	CPI-CS0A0F970F5	GGT1	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
GGT5	P36269	True	GGT5_HUMAN	LeukotrieneD4_byGGT1	CPI-CS0C4ABE334	GGT5	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
GGT5	P36269	True	GGT5_HUMAN	LeukotrieneD4_byGGT1	CPI-CS0A0F970F5	GGT5	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
DPEP2	Q9H4A9	True	DPEP2_HUMAN	LeukotrieneE4_byDPEP2	CPI-CS048E474A5	DPEP2	0.037	0.014	0.055	0.011	0.009	0.306	0.128	0.03
DPEP2	Q9H4A9	True	DPEP2_HUMAN	LeukotrieneE4_byDPEP2	CPI-CS058C0BB88	DPEP2	0.037	0.014	0.055	0.011	0.009	0.306	0.128	0.03
ALOX12	P18054	True	LOX12_HUMAN	LipoxinA4_byALOX12	CPI-CS0C94B5884	ALOX12	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
ALOX12	P18054	True	LOX12_HUMAN	LipoxinA4_byALOX12	CPI-CS0C1CAC8F7	ALOX12	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	ALOX5	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.0
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	ALOX5AP	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.0
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5AP	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	LTC4S	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.0
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	LTC4S	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.0
AKR1C3	P42330	True	AK1C3_HUMAN	ProstaglandinD2_byAKR1C3	CPI-CS0F3C15BCC	AKR1C3	0.006	0.071	0.046	0.022	0.119	0.003	0.0	0.292
AKR1C3	P42330	True	AK1C3_HUMAN	ProstaglandinD2_byAKR1C3	CPI-CS09C48BE1A	AKR1C3	0.006	0.071	0.046	0.022	0.119	0.003	0.0	0.292
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.0	0.001	0.0	0.0	0.0	0.023	0.0	0.011
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS080C76630	PTGES	0.0	0.001	0.0	0.0	0.0	0.023	0.0	0.011
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.0	0.001	0.0	0.0	0.0	0.023	0.0	0.011
PTGES2	Q9H7Z7	True	PGES2_HUMAN	ProstaglandinE2_byPTGES2	CPI-CS0086A177F	PTGES2	0.113	0.029	0.072	0.107	0.149	0.047	0.0	0.093
PTGES2	Q9H7Z7	True	PGES2_HUMAN	ProstaglandinE2_byPTGES2	CPI-CS0F721837F	PTGES2	0.113	0.029	0.072	0.107	0.149	0.047	0.0	0.093
PTGES2	Q9H7Z7	True	PGES2_HUMAN	ProstaglandinE2_byPTGES2	CPI-CS08E678B9D	PTGES2	0.113	0.029	0.072	0.107	0.149	0.047	0.0	0.093
PTGES3	Q15185	True	TEBP_HUMAN	ProstaglandinE2_byPTGES3	CPI-CS000F037BD	PTGES3	0.6	0.515	0.549	0.348	0.683	0.582	0.386	0.385
PTGES3	Q15185	True	TEBP_HUMAN	ProstaglandinE2_byPTGES3	CPI-CS0C9671CB6	PTGES3	0.6	0.515	0.549	0.348	0.683	0.582	0.386	0.385
PTGES3	Q15185	True	TEBP_HUMAN	ProstaglandinE2_byPTGES3	CPI-CS036B95798	PTGES3	0.6	0.515	0.549	0.348	0.683	0.582	0.386	0.385
TBXAS1	P24557	True	THAS_HUMAN	ThromboxaneA2_byTBXAS1	CPI-CS0D01AFCC7	TBXAS1	0.005	0.153	0.007	0.016	0.133	0.187	0.0	0.034
SLC29A1	Q99808	True	S29A1_HUMAN	Adenosine_byNT5E_and_SLC29A1	CPI-CS056D84EB8	SLC29A1	0.014	0.002	0.003	0.0	0.01	0.0	0.0	0.0
SLC29A1	Q99808	True	S29A1_HUMAN	Adenosine_byNT5E_and_SLC29A1	CPI-CS05357F38C	SLC29A1	0.014	0.002	0.003	0.0	0.01	0.0	0.0	0.0
SLC29A1	Q99808	True	S29A1_HUMAN	Adenosine_byNT5E_and_SLC29A1	CPI-CS07905F8F4	SLC29A1	0.014	0.002	0.003	0.0	0.01	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A1	CPI-CS056D84EB8	NT5E	0.014	0.002	0.003	0.0	0.01	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A1	CPI-CS05357F38C	NT5E	0.014	0.002	0.003	0.0	0.01	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A1	CPI-CS07905F8F4	NT5E	0.014	0.002	0.003	0.0	0.01	0.0	0.0	0.0
SLC29A2	Q14542	True	S29A2_HUMAN	Adenosine_byNT5E_and_SLC29A2	CPI-CS0FDA0F596	SLC29A2	0.005	0.001	0.003	0.0	0.005	0.0	0.0	0.0
SLC29A2	Q14542	True	S29A2_HUMAN	Adenosine_byNT5E_and_SLC29A2	CPI-CS016DD08B8	SLC29A2	0.005	0.001	0.003	0.0	0.005	0.0	0.0	0.0
SLC29A2	Q14542	True	S29A2_HUMAN	Adenosine_byNT5E_and_SLC29A2	CPI-CS04EFAFF1F	SLC29A2	0.005	0.001	0.003	0.0	0.005	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A2	CPI-CS0FDA0F596	NT5E	0.005	0.001	0.003	0.0	0.005	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A2	CPI-CS016DD08B8	NT5E	0.005	0.001	0.003	0.0	0.005	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A2	CPI-CS04EFAFF1F	NT5E	0.005	0.001	0.003	0.0	0.005	0.0	0.0	0.0
SLC29A3	Q9BZD2	True	S29A3_HUMAN	Adenosine_byNT5E_and_SLC29A3	CPI-CS0F865E648	SLC29A3	0.004	0.003	0.007	0.003	0.009	0.0	0.0	0.0
SLC29A3	Q9BZD2	True	S29A3_HUMAN	Adenosine_byNT5E_and_SLC29A3	CPI-CS0D17EA793	SLC29A3	0.004	0.003	0.007	0.003	0.009	0.0	0.0	0.0
SLC29A3	Q9BZD2	True	S29A3_HUMAN	Adenosine_byNT5E_and_SLC29A3	CPI-CS08D35C881	SLC29A3	0.004	0.003	0.007	0.003	0.009	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A3	CPI-CS0F865E648	NT5E	0.004	0.003	0.007	0.003	0.009	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A3	CPI-CS0D17EA793	NT5E	0.004	0.003	0.007	0.003	0.009	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A3	CPI-CS08D35C881	NT5E	0.004	0.003	0.007	0.003	0.009	0.0	0.0	0.0
SLC29A4	Q7RTT9	True	S29A4_HUMAN	Adenosine_byNT5E_and_SLC29A4	CPI-CS028B98B8F	SLC29A4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC29A4	Q7RTT9	True	S29A4_HUMAN	Adenosine_byNT5E_and_SLC29A4	CPI-CS0985F2C10	SLC29A4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC29A4	Q7RTT9	True	S29A4_HUMAN	Adenosine_byNT5E_and_SLC29A4	CPI-CS0F953F172	SLC29A4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A4	CPI-CS028B98B8F	NT5E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A4	CPI-CS0985F2C10	NT5E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A4	CPI-CS0F953F172	NT5E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
POMC	P01189	True	COLI_HUMAN	b-Endorphin_byPOMC	CPI-CS0FFD6263C	POMC	0.026	0.045	0.026	0.017	0.033	0.041	0.0	0.038
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.003
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	LTC4S	0.0	0.015	0.002	0.003	0.033	0.0	0.0	0.003
GGT1	P19440	True	GGT1_HUMAN	LTD4_byGGT1	CPI-CS066F8F865	GGT1	0.003	0.026	0.004	0.009	0.015	0.021	0.0	0.009
GGT1	P19440	True	GGT1_HUMAN	LTD4_byGGT1	CPI-CS0E87D8FFA	GGT1	0.003	0.026	0.004	0.009	0.015	0.021	0.0	0.009
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH_and_SLC18A1	CPI-CS085B8BFD8	DBH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC18A1	P54219	True	VMAT1_HUMAN	Noradrenaline_byDBH_and_SLC18A1	CPI-CS085B8BFD8	SLC18A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH_and_SLC18A2	CPI-CS0E8897714	DBH	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	Noradrenaline_byDBH_and_SLC18A2	CPI-CS0E8897714	SLC18A2	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0
PTGDS	P41222	True	PTGDS_HUMAN	PGD2_byPTGDS	CPI-CS0FADCFDB9	PTGDS	0.0	0.0	0.0	0.005	0.132	0.005	0.0	0.083
PTGDS	P41222	True	PTGDS_HUMAN	PGD2_byPTGDS	CPI-CS0F4093169	PTGDS	0.0	0.0	0.0	0.005	0.132	0.005	0.0	0.083
CDH1	P12830	False	CADH1_HUMAN		CPI-SC0A2DB962D	CDH1	0.0	0.0	0.002	0.0	0.029	0.003	0.0	0.0
COL11A2	P13942	False	COBA2_HUMAN		CPI-SC0D3C12C3F	COL11A2	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC0E85E1FB0	COL15A1	0.0	0.004	0.0	0.0	0.0	0.003	0.0	0.0
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC04BD52124	COL18A1	0.0	0.002	0.026	0.009	0.0	0.009	0.0	0.006
COL19A1	Q14993	False	COJA1_HUMAN		CPI-SC0BDD04147	COL19A1	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC04BCFC59C	COL1A1	0.0	0.001	0.002	0.002	0.0	0.0	0.0	0.0
COL24A1	Q17RW2	False	COOA1_HUMAN		CPI-SC088A27EA5	COL24A1	0.0	0.001	0.0	0.0	0.015	0.005	0.0	0.0
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC046604E76	COL4A2	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC0CCB0D955	COL6A1	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.013
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC01A5C5096	COL6A2	0.0	0.001	0.004	0.009	0.0	0.0	0.0	0.015
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC084C79E20	COL6A3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC05640277E	COL7A1	0.002	0.048	0.001	0.0	0.028	0.015	0.0	0.0
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC0F94B7D8F	COL8A2	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
COL9A2	Q14055	False	CO9A2_HUMAN		CPI-SC0A916E0E2	COL9A2	0.009	0.001	0.002	0.007	0.011	0.003	0.0	0.0
COL9A3	Q14050	False	CO9A3_HUMAN		CPI-SC0BB68FB34	COL9A3	0.113	0.001	0.001	0.0	0.0	0.0	0.0	0.003
FN1	P02751	False	FINC_HUMAN		CPI-SC01D1C56CC	FN1	0.0	0.02	0.0	0.003	0.0	0.0	0.0	0.0
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC0A460766C	LAMC1	0.006	0.004	0.0	0.0	0.0	0.0	0.0	0.0
CDH1	P12830	False	CADH1_HUMAN		CPI-SC09D882C18	CDH1	0.0	0.0	0.002	0.0	0.029	0.003	0.0	0.0
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	CDH1	0.0	0.0	0.002	0.0	0.029	0.003	0.0	0.0
CDH3	P22223	False	CADH3_HUMAN		CPI-SS0DA0F5556	CDH3	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	CADM1	0.003	0.002	0.007	0.118	0.037	0.003	0.0	0.003
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	CRTAM	0.003	0.025	0.024	0.03	0.01	0.042	0.0	0.028
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS055B305F1	CEACAM1	0.005	0.0	0.002	0.0	0.0	0.0	0.0	0.002
ICAM2	P13598	False	ICAM2_HUMAN		CPI-SS0544D2759	ICAM2	0.209	0.124	0.397	0.147	0.205	0.465	0.0	0.258
ICAM3	P32942	False	ICAM3_HUMAN		CPI-SS0A2949959	ICAM3	0.195	0.174	0.18	0.268	0.267	0.5	0.259	0.231
COL11A2	P13942	False	COBA2_HUMAN		CPI-SC071163509	COL11A2	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC027893337	COL15A1	0.0	0.004	0.0	0.0	0.0	0.003	0.0	0.0
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0C739EDCE	COL18A1	0.0	0.002	0.026	0.009	0.0	0.009	0.0	0.006
COL19A1	Q14993	False	COJA1_HUMAN		CPI-SC079D293A2	COL19A1	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC08DBCCFF0	COL1A1	0.0	0.001	0.002	0.002	0.0	0.0	0.0	0.0
COL24A1	Q17RW2	False	COOA1_HUMAN		CPI-SC073A7317A	COL24A1	0.0	0.001	0.0	0.0	0.015	0.005	0.0	0.0
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC03F728659	COL4A2	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC0549A759B	COL6A1	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.013
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0F9FB6DCB	COL6A2	0.0	0.001	0.004	0.009	0.0	0.0	0.0	0.015
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC0ECDD1074	COL6A3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC0E509A5C6	COL7A1	0.002	0.048	0.001	0.0	0.028	0.015	0.0	0.0
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC0453131F6	COL8A2	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
COL9A2	Q14055	False	CO9A2_HUMAN		CPI-SC0270AA5D9	COL9A2	0.009	0.001	0.002	0.007	0.011	0.003	0.0	0.0
COL9A3	Q14050	False	CO9A3_HUMAN		CPI-SC0DC74CBE5	COL9A3	0.113	0.001	0.001	0.0	0.0	0.0	0.0	0.003
SEMA7A	O75326	False	SEM7A_HUMAN		CPI-SC03AF43F8B	SEMA7A	0.082	0.0	0.002	0.0	0.023	0.0	0.0	0.005
COL11A2	P13942	False	COBA2_HUMAN		CPI-SC034D4CF73	COL11A2	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC01BE5E1F7	COL15A1	0.0	0.004	0.0	0.0	0.0	0.003	0.0	0.0
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC039737584	COL18A1	0.0	0.002	0.026	0.009	0.0	0.009	0.0	0.006
COL19A1	Q14993	False	COJA1_HUMAN		CPI-SC0423059DF	COL19A1	0.044	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC028882919	COL1A1	0.0	0.001	0.002	0.002	0.0	0.0	0.0	0.0
COL24A1	Q17RW2	False	COOA1_HUMAN		CPI-SC09E4E673B	COL24A1	0.0	0.001	0.0	0.0	0.015	0.005	0.0	0.0
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC0096917A2	COL4A2	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC0251EEF61	COL6A1	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.013
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC07F654CB3	COL6A2	0.0	0.001	0.004	0.009	0.0	0.0	0.0	0.015
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC059D160BE	COL6A3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC0B4771D76	COL7A1	0.002	0.048	0.001	0.0	0.028	0.015	0.0	0.0
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC0FCB8DFBB	COL8A2	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
COL9A2	Q14055	False	CO9A2_HUMAN		CPI-SC0A210DC1F	COL9A2	0.009	0.001	0.002	0.007	0.011	0.003	0.0	0.0
COL9A3	Q14050	False	CO9A3_HUMAN		CPI-SC0FD500AF3	COL9A3	0.113	0.001	0.001	0.0	0.0	0.0	0.0	0.003
FN1	P02751	False	FINC_HUMAN		CPI-SC0C91660AB	FN1	0.0	0.02	0.0	0.003	0.0	0.0	0.0	0.0
DSC1	Q08554	False	DSC1_HUMAN		CPI-SS08B94BEB2	DSC1	0.002	0.0	0.003	0.0	0.0	0.0	0.0	0.0
