id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	B|B	B|CD14	B|CD4T	B|CD8T	B|DCs	B|FGR3	B|Mega	B|NK	CD14|B	CD14|CD14	CD14|CD4T	CD14|CD8T	CD14|DCs	CD14|FGR3	CD14|Mega	CD14|NK	CD4T|B	CD4T|CD14	CD4T|CD4T	CD4T|CD8T	CD4T|DCs	CD4T|FGR3	CD4T|Mega	CD4T|NK	CD8T|B	CD8T|CD14	CD8T|CD4T	CD8T|CD8T	CD8T|DCs	CD8T|FGR3	CD8T|Mega	CD8T|NK	DCs|B	DCs|CD14	DCs|CD4T	DCs|CD8T	DCs|DCs	DCs|FGR3	DCs|Mega	DCs|NK	FGR3|B	FGR3|CD14	FGR3|CD4T	FGR3|CD8T	FGR3|DCs	FGR3|FGR3	FGR3|Mega	FGR3|NK	Mega|B	Mega|CD14	Mega|CD4T	Mega|CD8T	Mega|DCs	Mega|FGR3	Mega|Mega	Mega|NK	NK|B	NK|CD14	NK|CD4T	NK|CD8T	NK|DCs	NK|FGR3	NK|Mega	NK|NK
CPI-SS00150FB64	HLA-F_LILRB1	simple:P30511	simple:Q8NHL6	HLA-F	LILRB1	True	False	True	curated	False	Ligand-Receptor	Signaling by HLA	0.266		0.571			0.483	0.73				0.461				0.619				0.416				0.575				0.457				0.616				0.68			0.591	0.839				0.542				0.701												0.591			0.503	0.75		
CPI-SS029C16DCA	CD58_CD2	simple:P19256	simple:P06729	CD58	CD2	False	False	True	curated	False	Ligand-Receptor		0.281											0.633	1.068			0.376	0.43											0.632	1.066							0.761	1.195			0.504	0.558			0.727	1.161			0.47	0.524			0.591	1.025							0.622	1.056				
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	HLA-F	LILRB2	False	False	True	curated	False	Ligand-Receptor	Signaling by HLA	0.328		0.721			0.588	1.013				0.61			0.478	0.902				0.565			0.433	0.857				0.606			0.474	0.898				0.829			0.697	1.122				0.691			0.559	0.983												0.741			0.608	1.033		
CPI-SS0E2453044	PPIA_BSG	simple:P62937	simple:P35613	PPIA	BSG	True	False	False	curated	False	Ligand-Receptor		0.344	0.514	0.473	0.51	0.581	0.611	0.527	0.828	0.592					0.426								0.551								0.492				0.624	0.583	0.62	0.692	0.721	0.637	0.938	0.702					0.526								0.368								0.527			
CPI-SS0E23CEB91	LGALS9_HAVCR2	simple:O00182	simple:Q8TDQ0	LGALS9	HAVCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Galectin	0.438		0.542			0.556	0.804		0.575		0.796			0.81	1.059		0.829		0.435			0.449	0.698		0.468										0.937			0.951	1.2		0.97		0.884			0.898	1.147		0.917		0.437			0.451	0.7		0.47		0.527			0.54	0.789		0.56
CPI-SS01503DD69	CD44_TYROBP	simple:P16070	simple:O43914	CD44	TYROBP	False	True	False	curated	False	Ligand-Receptor		0.438		2.064			1.564	2.135		1.073		2.228			1.728	2.299		1.237		2.303			1.803	2.374		1.312		2.305			1.804	2.376		1.314		2.163			1.663	2.235		1.172		2.194			1.694	2.266		1.204										2.332			1.832	2.403		1.341
CPI-CS036B95798	ProstaglandinE2_byPTGES3_PTGER4	complex:ProstaglandinE2_byPTGES3	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.531			0.464	0.548	0.492			0.594			0.38	0.465	0.408			0.51			0.414	0.499	0.442			0.544			0.336	0.421	0.364			0.466			0.583	0.667	0.611	0.547	0.537	0.713			0.44	0.525	0.468			0.571			0.341	0.426	0.369			0.471			0.336	0.421	0.364			0.466
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	1.5310000000000001																																																																
CPI-SS0F67B526A	SEMA3C_NRP2	simple:Q99985	simple:O60462	SEMA3C	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	1.5310000000000001																																																																
CPI-SC073A7317A	COL24A1_integrin_a1b1_complex	simple:Q17RW2	complex:integrin_a1b1_complex	COL24A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	1.5310000000000001																																																																
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	1.5310000000000001																																																																
CPI-SS036B08188	PLAU_PLAUR	simple:P00749	simple:Q03405	PLAU	PLAUR	True	False	True	curated	False	Ligand-Receptor	Signaling by Plasminogen Activator	1.5310000000000001																																																																
CPI-SS0FEEB187C	PDGFB_PDGFRA	simple:P01127	simple:P16234	PDGFB	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	1.5310000000000001																																																																
CPI-SS06DA9B4FE	PDGFC_PDGFRA	simple:Q9NRA1	simple:P16234	PDGFC	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	1.5310000000000001																																																																
CPI-SC00DF4C861	PDGFB_PDGFR_complex	simple:P01127	complex:PDGFR_complex	PDGFB		True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	1.5310000000000001																																																																
CPI-SC042177446	PDGFD_PDGFR_complex	simple:Q9GZP0	complex:PDGFR_complex	PDGFD		True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	1.5310000000000001																																																																
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	1.5310000000000001																																																																
CPI-SS00508D1C2	VEGFB_NRP1	simple:P49765	simple:O14786	VEGFB	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	1.5310000000000001																																																																
CPI-SS00D51DD37	VEGFB_FLT1	simple:P49765	simple:P17948	VEGFB	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	1.5310000000000001																																																																
CPI-SS034083FFA	SEMA3A_NRP1	simple:Q14563	simple:O14786	SEMA3A	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	1.5310000000000001																																																																
CPI-SS01790830C	PGF_NRP1	simple:P49763	simple:O14786	PGF	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	1.5310000000000001																																																																
CPI-SS05A26A1DE	PDGFB_PDGFRB	simple:P01127	simple:P09619	PDGFB	PDGFRB	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	1.5310000000000001																																																																
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	1.5310000000000001																																																																
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	1.5310000000000001																																																																
CPI-SS0CB25BBAE	SCT_VIPR2	simple:P09683	simple:P41587	SCT	VIPR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Secretin	1.5310000000000001																																																																
CPI-SS0EC70F078	SCT_VIPR1	simple:P09683	simple:P32241	SCT	VIPR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Secretin	1.5310000000000001																																																																
CPI-SS0C916344D	AVP_OXTR	simple:P01185	simple:P30559	AVP	OXTR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vasopressin	1.5310000000000001																																																																
CPI-SS04B547174	OXT_OXTR	simple:P01178	simple:P30559	OXT	OXTR	True	False	True	curated	False	Ligand-Receptor	Signaling by Oxytocin	1.5310000000000001																																																																
CPI-SS084816B12	HCRT_HCRTR1	simple:O43612	simple:O43613	HCRT	HCRTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Orexin	1.5310000000000001																																																																
CPI-SS0DAB76F63	PNOC_OPRL1	simple:Q13519	simple:P41146	PNOC	OPRL1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	1.5310000000000001																																																																
CPI-CS0FFD6263C	b-Endorphin_byPOMC_OPRM1	complex:b-Endorphin_byPOMC	simple:P35372		OPRM1	True	False	True	curated	False	Ligand-Receptor	Signaling by Proopiomelanocortin	1.5310000000000001																																																																
CPI-SS043E22BF5	VEGFA_NRP1	simple:P15692	simple:O14786	VEGFA	NRP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	1.5310000000000001																																																																
CPI-SS0B3C76C9D	PDGFD_PDGFRB	simple:Q9GZP0	simple:P09619	PDGFD	PDGFRB	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	1.5310000000000001																																																																
CPI-SS027DD8311	SELPLG_SELP	simple:Q14242	simple:P16109	SELPLG	SELP	False	True	False	curated	False	Ligand-Receptor	Signaling by Selectin	1.5310000000000001																																																																
CPI-SS01EBB8D76	PODXL2_SELL	simple:Q9NZ53	simple:P14151	PODXL2	SELL	False	False	False	curated	False	Ligand-Receptor	Signaling by Podocalyxin-like protein	1.5310000000000001																																																																
CPI-SS0892F3080	SEMA4C_PLXNB2	simple:Q9C0C4	simple:O15031	SEMA4C	PLXNB2	False	True	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	1.5310000000000001																																																																
CPI-SS044C72D0D	SEMA4A_PLXND1	simple:Q9H3S1	simple:Q9Y4D7	SEMA4A	PLXND1	False	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	1.5310000000000001																																																																
CPI-SC096905331	SEMA3A_PlexinA4_complex1	simple:Q14563	complex:PlexinA4_complex1	SEMA3A		True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	1.5310000000000001																																																																
CPI-SC05F339947	SEMA3A_PlexinA3_complex1	simple:Q14563	complex:PlexinA3_complex1	SEMA3A		True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	1.5310000000000001																																																																
CPI-SC019D0A439	SEMA3A_PlexinA2_complex1	simple:Q14563	complex:PlexinA2_complex1	SEMA3A		True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	1.5310000000000001																																																																
CPI-SC0C8A5C197	SEMA3A_PlexinA1_complex3	simple:Q14563	complex:PlexinA1_complex3	SEMA3A		True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	1.5310000000000001																																																																
CPI-CS033058D2B	atRetinoicAcid_byALDH1A2_RORB	complex:atRetinoicAcid_byALDH1A2	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	1.5310000000000001																																																																
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	1.5310000000000001																																																																
CPI-CS08E678B9D	ProstaglandinE2_byPTGES2_PTGER4	complex:ProstaglandinE2_byPTGES2	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	1.5310000000000001																																																																
CPI-CS023F349AF	ProstaglandinE2_byPTGES_PTGER4	complex:ProstaglandinE2_byPTGES	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	1.5310000000000001																																																																
CPI-CS0C9671CB6	ProstaglandinE2_byPTGES3_PTGER3	complex:ProstaglandinE2_byPTGES3	simple:P43115		PTGER3	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	1.5310000000000001																																																																
CPI-CS0F721837F	ProstaglandinE2_byPTGES2_PTGER3	complex:ProstaglandinE2_byPTGES2	simple:P43115		PTGER3	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	1.5310000000000001																																																																
CPI-SS08920B6FF	PODXL_SELL	simple:O00592	simple:P14151	PODXL	SELL	False	False	False	curated	False	Receptor-Receptor	Signaling by Podocalyxin-like protein	1.5310000000000001																																																																
CPI-CS080C76630	ProstaglandinE2_byPTGES_PTGER3	complex:ProstaglandinE2_byPTGES	simple:P43115		PTGER3	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	1.5310000000000001																																																																
CPI-CS0F0453B03	ProstaglandinE2_byPTGES_PTGER2	complex:ProstaglandinE2_byPTGES	simple:P43116		PTGER2	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	1.5310000000000001																																																																
CPI-CS0FADCFDB9	PGD2_byPTGDS_PTGDR	complex:PGD2_byPTGDS	simple:Q13258		PTGDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	1.5310000000000001																																																																
CPI-CS0F3C15BCC	ProstaglandinD2_byAKR1C3_PTGDR	complex:ProstaglandinD2_byAKR1C3	simple:Q13258		PTGDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	1.5310000000000001																																																																
CPI-SS045EC4F7D	RLN2_RXFP1	simple:P04090	simple:Q9HBX9	RLN2	RXFP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Relaxin	1.5310000000000001																																																																
CPI-SS0FAE75A75	RLN1_RXFP1	simple:P04808	simple:Q9HBX9	RLN1	RXFP1	True	False	True	curated	False	Ligand-Receptor	Signaling by Relaxin	1.5310000000000001																																																																
CPI-SS0B84DAE3D	PVR_CD96	simple:P15151	simple:P40200	PVR	CD96	True	True	True	curated	False	Ligand-Receptor	Signaling by Poliovirus receptor	1.5310000000000001																																																																
CPI-SS0A8627ED6	PVR_CD226	simple:P15151	simple:Q15762	PVR	CD226	True	True	True	curated	False	Ligand-Receptor	Signaling by Poliovirus receptor	1.5310000000000001																																																																
CPI-SS013E6EBC3	CD34_SELP	simple:P28906	simple:P16109	CD34	SELP	False	False	False	curated	False	Ligand-Receptor		1.5310000000000001																																																																
CPI-SS0D97012FB	PENK_OPRM1	simple:P01210	simple:P35372	PENK	OPRM1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	1.5310000000000001																																																																
CPI-SS039266778	PODXL2_SELP	simple:Q9NZ53	simple:P16109	PODXL2	SELP	False	False	False	curated	False	Ligand-Receptor	Signaling by Podocalyxin-like protein	1.5310000000000001																																																																
CPI-SS00D1CB372	CD34_SELL	simple:P28906	simple:P14151	CD34	SELL	False	False	False	curated	False	Ligand-Receptor		1.5310000000000001																																																																
CPI-SS0D479FBB7	SELPLG_SELL	simple:Q14242	simple:P14151	SELPLG	SELL	False	True	False	curated	False	Ligand-Receptor	Signaling by Selectin	1.5310000000000001																																																																
CPI-CS0086A177F	ProstaglandinE2_byPTGES2_PTGER2	complex:ProstaglandinE2_byPTGES2	simple:P43116		PTGER2	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	1.5310000000000001																																																																
CPI-SC0F30798CC	LIF_LIFR	simple:P15018	complex:LIFR	LIF		True	False	True	curated	False	Ligand-Receptor		1.5310000000000001																																																																
CPI-SS098C2FFC0	DLL3_NOTCH4	simple:Q9NYJ7	simple:Q99466	DLL3	NOTCH4	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	1.5310000000000001																																																																
CPI-SS015B87133	JAG1_CD46	simple:P78504	simple:P15529	JAG1	CD46	False	False	True	curated	False	Ligand-Receptor		1.5310000000000001																																																																
CPI-SC0E81D7329	IL6_IL6_receptor	simple:P05231	complex:IL6_receptor	IL6		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	1.5310000000000001																																																																
CPI-SC0DE80D39C	IL2_IL2_receptor_I	simple:P60568	complex:IL2_receptor_I	IL2		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	1.5310000000000001																																																																
CPI-SC0114881C6	IL2_IL2_receptor_HA	simple:P60568	complex:IL2_receptor_HA	IL2		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	1.5310000000000001																																																																
CPI-SC00798A43E	IL36RN_IL36_receptor	simple:Q9UBH0	complex:IL36_receptor	IL36RN		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	1.5310000000000001																																																																
CPI-SC01F1DB97B	IL36G_IL36_receptor	simple:Q9NZH8	complex:IL36_receptor	IL36G		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	1.5310000000000001																																																																
CPI-SC09328ED75	IL36B_IL36_receptor	simple:Q9NZH7	complex:IL36_receptor	IL36B		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	1.5310000000000001																																																																
CPI-SC0CEE7CCC6	IL1RN_IL1_receptor_inhibitor	simple:P18510	complex:IL1_receptor_inhibitor	IL1RN		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	1.5310000000000001																																																																
CPI-SC01BC018A0	IL1B_IL1_receptor_inhibitor	simple:P01584	complex:IL1_receptor_inhibitor	IL1B		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	1.5310000000000001																																																																
CPI-SC06CA2BDAB	IL1RN_IL1_receptor	simple:P18510	complex:IL1_receptor	IL1RN		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	1.5310000000000001																																																																
CPI-SC0D5A18C2E	IL1B_IL1_receptor	simple:P01584	complex:IL1_receptor	IL1B		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	1.5310000000000001																																																																
CPI-SC09CC14C07	IL18_IL18_receptor	simple:Q14116	complex:IL18_receptor	IL18		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	1.5310000000000001																																																																
CPI-SC0C6EBD4D8	IL15_IL15_receptor	simple:P40933	complex:IL15_receptor	IL15		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	1.5310000000000001																																																																
